,Function Name,Parameters,Source File,Line Number
6753,CustomizationAudioInterfaceMixin:PlayAudio,soundKit,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,42
6754,CustomizationAudioInterfaceMixin:StopAudio,,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,64
6755,CustomizationAudioInterfaceMixin:OnPlaybackFinished,,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,84
6756,CustomizationAudioInterfaceMixin:CheckResumePlayback,,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,94
6757,CustomizationAudioInterfaceMixin:OnAudioPlayingTick,,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,102
6758,CustomizationAudioInterfacePlayButtonMixin:CustomizationAudioInterfacePlayButton_OnLoad,,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,110
6759,CustomizationAudioInterfacePlayButtonMixin:OnClick,,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,116
6760,CustomizationAudioInterfacePlayButtonMixin:GetStateTextures,,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,125
6761,CustomizationAudioInterfacePlayButtonMixin:UpdateState,,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,134
6762,CustomizationAudioInterfaceMuteButtonMixin:CustomizationAudioInterfaceMuteButton_OnLoad,,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,146
6763,CustomizationAudioInterfaceMuteButtonMixin:GetStateTextures,,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,155
6764,CustomizationAudioInterfaceMuteButtonMixin:UpdateState,,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,163
6765,CustomizationAudioInterfaceMuteButtonMixin:OnClick,,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,174
6766,CustomizationAudioInterfaceMuteButtonMixin:OnPulseAnimPlay,,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,190
6767,CustomizationAudioInterfaceMuteButtonMixin:OnPulseAnimLoop,,Blizzard_CustomizationUI\Blizzard_CustomizationAudioInterface.lua,194
6768,CustomizationOptionFrameBaseMixin:SetupOption,optionData,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,5
6769,CustomizationOptionFrameBaseMixin:SetOptionData,optionData,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,10
6770,CustomizationOptionFrameBaseMixin:GetOptionData,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,14
6771,CustomizationOptionFrameBaseMixin:RefreshOption,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,18
6772,CustomizationOptionFrameBaseMixin:GetCurrentChoiceIndex,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,22
6773,CustomizationOptionFrameBaseMixin:HasChoice,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,26
6774,CustomizationOptionFrameBaseMixin:GetChoice,index,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,30
6775,CustomizationOptionFrameBaseMixin:GetCurrentChoice,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,36
6776,CustomizationOptionFrameBaseMixin:HasSound,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,40
6777,CustomizationOptionFrameBaseMixin:GetSoundKit,entryOverride,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,44
6778,CustomizationOptionFrameBaseMixin:SetupAudio,audioInterface,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,57
6779,CustomizationOptionFrameBaseMixin:ShutdownAudio,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,68
6780,CustomizationOptionFrameBaseMixin:GetAudioInterface,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,77
6781,CustomizationOptionFrameBaseMixin:GetDebugName,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,81
6782,CustomizationOptionSliderMixin:OnLoad,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,94
6783,CustomizationOptionSliderMixin:SetupAnchors,tooltip,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,98
6784,CustomizationOptionSliderMixin:SetupOption,optionData,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,103
6785,CustomizationOptionSliderMixin:OnSliderValueChanged,"value, userInput",Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,113
6786,CustomizationOptionCheckButtonMixin:CustomizationOptionCheckButton_OnLoad,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,154
6787,CustomizationOptionCheckButtonMixin:SetupOption,optionData,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,160
6788,CustomizationOptionCheckButtonMixin:OnCheckButtonClick,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,176
6789,CustomizationDropdownWithSteppersAndLabelMixin:OnLoad,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,198
6790,CustomizationDropdownWithSteppersAndLabelMixin:SetupAnchors,tooltip,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,208
6793,CustomizationDropdownWithSteppersAndLabelMixin:SetupOption,optionData,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,232
6798,CustomizationDropdownWithSteppersAndLabelMixin:GetOrCreateWarningTexture,enabled,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,433
6799,CustomizationDropdownWithSteppersAndLabelMixin:GetWarningTexture,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,443
6800,CustomizationDropdownWithSteppersAndLabelMixin:SetMissingOptionWarningEnabled,externallyEnabled,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,447
6801,CustomizationDropdownElementDetailsMixin:GetTooltipText,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,464
6802,CustomizationDropdownElementDetailsMixin:AdjustWidth,"multipleColumns, hasALockedChoice",Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,477
6805,CustomizationDropdownElementDetailsMixin:GetFontColors,"choiceData, isSelected, hasAFailedReq",Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,514
6806,CustomizationDropdownElementDetailsMixin:UpdateFontColors,"choiceData, isSelected, hasAFailedReq",Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,529
6808,CustomizationDropdownElementDetailsMixin:SetShowAsNew,showAsNew,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,542
6809,CustomizationDropdownElementDetailsMixin:UpdateText,"choiceData, isSelected, hasAFailedReq, hideNumber, hasColors",Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,558
6810,CustomizationDropdownElementDetailsMixin:Init,"choiceData, index, isSelected, hasAFailedReq, hasALockedChoice, clampNameSize",Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,595
6811,CustomizationDropdownMixin:OnMouseDown,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,683
6812,CustomizationDropdownMixin:OnMouseUp,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,689
6813,CustomizationDropdownMixin:OnDisable,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,696
6814,CustomizationDropdownElementMixin:OnLoad,,Blizzard_CustomizationUI\Blizzard_CustomizationOptionTemplates.lua,707
6815,CustomizationContentFrameMixin:SetCustomizationFrame,customizationFrame,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,5
6816,CustomizationContentFrameMixin:GetCustomizationFrame,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,9
6817,CustomizationBaseButtonMixin:OnBaseButtonClick,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,17
6818,CustomizationFrameWithTooltipMixin:GetAppropriateTooltip,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,27
6819,CustomizationMaskedButtonMixin:GetAppropriateTooltip,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,34
6820,CustomizationFrameWithExpandableTooltipMixin:ClearTooltipLines,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,42
6821,CustomizationFrameWithExpandableTooltipMixin:AddExpandedTooltipFrame,frame,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,48
6822,CustomizationFrameWithExpandableTooltipMixin:AddPostTooltipLine,"lineText, lineColor",Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,52
6823,CustomizationFrameWithExpandableTooltipMixin:AddExtraStuffToTooltip,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,60
6824,CustomizationFrameWithExpandableTooltipMixin:OnMouseUp,button,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,84
6825,CustomizationSmallButtonMixin:OnLoad,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,98
6826,CustomizationSmallButtonMixin:OnMouseDown,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,104
6827,CustomizationSmallButtonMixin:OnMouseUp,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,110
6828,CustomizationSmallButtonMixin:OnClick,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,114
6829,CustomizationClickOrHoldButtonMixin:OnHide,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,124
6830,CustomizationClickOrHoldButtonMixin:DoClickAction,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,129
6831,CustomizationClickOrHoldButtonMixin:DoHoldAction,elapsed,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,132
6832,CustomizationClickOrHoldButtonMixin:OnClick,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,135
6833,CustomizationClickOrHoldButtonMixin:OnUpdate,elapsed,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,143
6834,CustomizationClickOrHoldButtonMixin:OnMouseDown,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,159
6835,CustomizationClickOrHoldButtonMixin:OnMouseUp,,Blizzard_CustomizationUI\Blizzard_CustomizationTemplates.lua,166
6836,CustomizationParentFrameBaseMixin:SetCustomizationChoice,"optionID, choiceID",Blizzard_CustomizationUI\Blizzard_CustomizationUI.lua,5
6837,CustomizationParentFrameBaseMixin:PreviewCustomizationChoice,"optionID, choiceID",Blizzard_CustomizationUI\Blizzard_CustomizationUI.lua,10
6838,CustomizationParentFrameBaseMixin:ResetCustomizationPreview,clearSavedChoices,Blizzard_CustomizationUI\Blizzard_CustomizationUI.lua,15
6839,CustomizationParentFrameBaseMixin:MarkCustomizationChoiceAsSeen,choiceID,Blizzard_CustomizationUI\Blizzard_CustomizationUI.lua,20
6840,CustomizationParentFrameBaseMixin:MarkCustomizationOptionAsSeen,optionID,Blizzard_CustomizationUI\Blizzard_CustomizationUI.lua,25
6841,CustomizationParentFrameBaseMixin:GetCurrentCameraZoom,,Blizzard_CustomizationUI\Blizzard_CustomizationUI.lua,30
6842,CustomizationParentFrameBaseMixin:SetCameraZoomLevel,"zoomLevel, keepCustomZoom",Blizzard_CustomizationUI\Blizzard_CustomizationUI.lua,35
6843,CustomizationParentFrameBaseMixin:ZoomCamera,zoomAmount,Blizzard_CustomizationUI\Blizzard_CustomizationUI.lua,40
6844,CustomizationParentFrameBaseMixin:RotateSubject,rotationAmount,Blizzard_CustomizationUI\Blizzard_CustomizationUI.lua,45
6845,CustomizationParentFrameBaseMixin:ResetSubjectRotation,,Blizzard_CustomizationUI\Blizzard_CustomizationUI.lua,50
6846,CustomizationParentFrameBaseMixin:RandomizeAppearance,,Blizzard_CustomizationUI\Blizzard_CustomizationUI.lua,55
6847,CustomizationParentFrameBaseMixin:SetCameraDistanceOffset,offset,Blizzard_CustomizationUI\Blizzard_CustomizationUI.lua,60
